📺央视频道,#genre#
动漫秀场,http://123.129.70.178/rtp/239.253.254.115:8000
动漫秀场,http://116.117.107.84/rtp/239.125.1.31:5000
动漫秀场,http://58.221.214.82/rtp/239.49.1.171:6000
动漫秀场,http://116.117.104.248/rtp/239.125.1.31:5000
动漫秀场,http://110.7.131.79/rtp/239.125.1.31:5000
新动漫,http://60.29.124.66/rtp/225.1.1.216:5002
青春动漫,http://58.221.214.82/rtp/239.49.1.212:6000
宝宝动画,http://58.221.214.82/rtp/239.49.1.213:6000
优漫卡通,http://139.129.231.228:50060/rtp/239.21.1.50:5002
金鹰卡通,http://60.29.124.66/rtp/225.1.2.236:5002
金鹰卡通,http://139.129.231.228:50060/rtp/239.21.1.48:5002
金鹰卡通,http://139.196.214.238/rtp/239.45.3.118:5140
金鹰卡通,http://123.129.70.178/rtp/239.253.254.117:8000
金鹰卡通,http://116.117.107.84/rtp/239.125.1.128:4130
金鹰卡通,http://58.221.214.82/rtp/239.49.9.23:6000
金鹰卡通,http://116.117.104.248/rtp/239.125.1.128:4130
金鹰卡通,http://110.7.131.79/rtp/239.125.1.128:4130
浙江少儿,http://120.55.49.231:3095/rtp/233.50.201.138:5140

🎮游戏频道,#genre#
游戏风云,http://60.29.124.66/rtp/225.1.1.135:5002
游戏风云,http://139.196.214.238/rtp/239.45.3.131:5140
游戏风云,http://120.55.49.231:3095/rtp/233.50.201.183:5140
游戏风云,http://123.129.70.178/rtp/239.253.254.95:8000
游戏风云,http://116.117.107.84/rtp/239.125.1.33:5000
游戏风云,http://58.221.214.82/rtp/239.49.1.177:6000
游戏风云,http://116.117.104.248/rtp/239.125.1.33:5000
游戏风云,http://110.7.131.79/rtp/239.125.1.33:5000
游戏竞技,http://58.221.214.82/rtp/239.49.1.71:6000
海看电竞,http://139.129.231.228/rtp/239.21.1.135:5002

🎵音乐频道,#genre#
CCTV-15,http://139.129.231.228/rtp/239.21.1.16:5002
CCTV-15,http://139.196.214.238/rtp/239.45.1.200:5140
风云音乐,http://58.221.214.82/rtp/239.49.9.13:6000
音乐现场,http://116.117.107.84/rtp/239.125.1.40:5000
音乐现场,http://116.117.104.248/rtp/239.125.1.40:5000
音乐现场,http://110.7.131.79/rtp/239.125.1.40:5000

🏛经典剧场,#genre#
